"Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","males_occ_management","fem_occ_professional","fem_occ_management","num_occupants_crowded","phone_service"
"37133001101",472,95,142,104,141,65,77,179,1407,8,0,16,0,91261,3653763
"37133001102",759,79,256,241,275,0,23,238,2121,6,0,0,0,91261,3653763
"37133001200",2415,102,657,597,248,0,30,687,3765,92,0,48,0,91261,3653763
"37133001300",3691,395,932,654,689,313,184,818,6942,50,0,28,0,91261,3653763
"37133001400",593,53,240,164,150,0,13,108,1229,40,10,24,0,91261,3653763
"37133001500",871,147,242,218,158,31,13,212,1900,0,0,0,0,91261,3653763
"37133001700",539,17,208,161,139,0,21,105,1038,6,0,0,0,91261,3653763
"37133001800",234,97,52,52,157,0,14,50,454,18,0,0,0,91261,3653763
"37133002100",1688,115,442,353,542,17,91,518,2324,46,0,21,0,91261,3653763
"37133002201",1002,156,264,236,178,0,16,444,2787,89,0,49,0,91261,3653763
"37133002202",1416,141,487,487,351,28,50,182,2736,0,0,30,0,91261,3653763
"37133002300",1118,24,241,230,186,0,21,117,1409,14,0,16,0,91261,3653763
"37133002400",1260,55,451,385,497,344,24,614,3775,75,0,16,0,91261,3653763
"37133002500",226,89,239,88,213,14,19,320,1645,92,0,0,0,91261,3653763
"37133002600",2129,384,524,443,536,0,73,305,2745,0,0,27,0,91261,3653763
"37133002800",404,117,486,426,484,0,27,201,3133,121,0,24,0,91261,3653763
"37133990100",0,0,0,0,0,0,0,0,0,0,0,0,0,91261,3653763
"37127010200",4306,422,788,660,939,0,6,674,3609,0,0,0,0,91261,3653763
"37127010300",3642,307,726,544,880,0,154,578,2526,40,12,16,0,91261,3653763
"37127010400",2166,189,345,297,359,11,19,242,1693,0,0,0,0,91261,3653763
"37127010502",2983,261,751,539,463,0,32,251,3557,88,0,0,0,91261,3653763
"37127010503",1116,20,212,144,306,39,46,290,1084,41,0,6,0,91261,3653763
"37127010504",2392,136,354,343,773,23,50,460,1966,63,0,26,0,91261,3653763
"37127010601",862,46,112,88,92,0,0,156,707,0,0,14,0,91261,3653763
"37127010602",2457,114,412,412,458,149,36,336,2328,32,0,38,0,91261,3653763
"37127010700",1398,74,195,134,330,1,7,130,865,19,0,12,0,91261,3653763
"37127010800",1433,26,371,240,539,12,26,396,599,90,0,54,0,91261,3653763
"37127010900",2100,107,511,359,790,30,69,283,1446,0,0,16,0,91261,3653763
"37127011000",1961,280,355,242,690,0,31,248,1677,45,0,21,0,91261,3653763
"37127011101",2437,130,376,298,508,50,40,303,861,33,0,22,0,91261,3653763
"37127011102",2190,262,688,535,908,39,54,515,2346,53,0,17,0,91261,3653763
"37127011200",1128,91,382,274,358,1,9,357,1832,57,0,26,0,91261,3653763
"37127011300",486,67,173,123,648,171,38,245,1470,9,0,0,0,91261,3653763
"37127011400",1302,101,229,184,427,279,28,243,1472,17,0,2,0,91261,3653763
"37127011500",1410,214,567,394,865,104,109,273,2199,12,0,36,0,91261,3653763
"37035010101",242,28,383,270,662,65,27,365,1457,28,0,0,0,91261,3653763
"37035010102",288,85,219,146,343,17,26,146,1215,24,0,21,0,91261,3653763
"37035010201",43,66,310,169,770,170,60,405,1161,7,0,25,0,91261,3653763
"37035010202",753,90,514,392,957,230,85,520,2113,75,0,45,10,91261,3653763
"37035010301",65,34,270,135,462,46,15,267,756,23,0,18,0,91261,3653763
"37035010302",379,50,203,161,171,60,0,192,1549,19,0,28,0,91261,3653763
"37035010303",94,67,201,87,521,294,25,216,1074,20,0,39,0,91261,3653763
"37035010304",108,69,202,195,742,130,68,126,1636,0,0,12,0,91261,3653763
"37035010401",631,127,656,586,776,65,16,386,3873,27,0,0,0,91261,3653763
"37035010402",800,264,412,374,605,232,18,137,2556,4,0,0,0,91261,3653763
"37035010501",215,57,259,155,197,67,15,68,1499,47,0,0,0,91261,3653763
"37035010502",60,14,156,129,58,0,12,63,696,14,0,85,0,91261,3653763
"37035010600",492,140,312,268,445,0,0,124,1893,42,0,30,0,91261,3653763
"37035010700",218,133,220,209,472,79,24,234,1320,14,0,10,0,91261,3653763
"37035010900",2160,283,413,350,772,0,75,331,1788,9,0,0,0,91261,3653763
"37035011000",646,111,240,168,622,31,12,188,1378,0,0,26,5,91261,3653763
"37035011101",527,24,194,147,428,0,11,40,1102,8,0,37,0,91261,3653763
"37035011102",612,125,424,334,916,237,29,298,2515,107,0,12,0,91261,3653763
"37035011200",827,250,451,402,737,0,37,207,1420,20,0,0,0,91261,3653763
"37035011300",777,337,799,516,928,185,57,473,2785,59,0,39,0,91261,3653763
"37035011401",412,36,223,194,523,0,69,217,1124,59,0,20,0,91261,3653763
"37035011402",167,61,121,99,485,0,0,131,785,11,0,27,0,91261,3653763
"37035011501",282,71,278,122,528,9,9,233,767,36,0,25,0,91261,3653763
"37035011503",107,94,264,203,250,80,0,180,748,24,0,77,0,91261,3653763
"37035011504",99,62,360,158,504,0,14,192,982,118,0,117,0,91261,3653763
"37035011601",311,74,201,145,627,31,24,271,580,22,0,21,0,91261,3653763
"37035011602",84,38,219,158,644,146,38,180,1263,13,0,19,0,91261,3653763
"37035011701",302,64,274,166,497,58,16,209,1233,41,10,53,10,91261,3653763
"37035011702",621,89,421,283,922,0,80,352,930,44,0,57,0,91261,3653763
"37035011801",394,180,559,319,738,6,87,151,633,12,0,10,0,91261,3653763
"37035011802",277,44,224,122,996,117,15,218,895,9,0,0,0,91261,3653763
"37045950101",26,57,322,204,895,68,43,355,848,0,0,38,0,91261,3653763
"37045950102",172,64,99,71,348,0,16,169,500,62,0,1,0,91261,3653763
"37045950200",1215,73,379,338,570,0,47,297,1099,33,0,0,0,91261,3653763
"37045950301",541,58,143,126,452,24,50,235,787,9,0,27,0,91261,3653763
"37045950302",872,38,532,450,524,0,64,390,1376,15,0,45,0,91261,3653763
"37045950400",1088,178,368,286,743,0,51,308,2871,46,0,20,0,91261,3653763
"37045950500",656,203,363,258,650,7,53,439,2489,0,0,22,0,91261,3653763
"37045950601",362,186,274,152,624,0,22,167,1126,28,0,35,0,91261,3653763
"37045950602",1077,60,524,340,605,0,38,311,1378,21,0,75,0,91261,3653763
"37045950700",1713,229,460,360,936,0,86,425,2134,9,0,0,0,91261,3653763
"37045950800",1457,102,308,255,523,0,22,331,1993,0,0,21,0,91261,3653763
"37045950900",2240,286,292,249,453,0,49,244,2088,0,0,20,0,91261,3653763
"37045951000",1489,195,417,349,362,0,96,394,1672,30,0,21,0,91261,3653763
"37045951100",1372,170,226,206,285,0,33,141,1735,6,0,12,0,91261,3653763
"37045951200",1663,271,397,297,470,66,52,417,2571,0,0,43,0,91261,3653763
"37045951300",432,84,199,154,453,0,34,196,514,22,0,25,0,91261,3653763
"37045951400",874,124,334,272,882,0,38,379,1623,15,0,18,0,91261,3653763
"37045951501",177,70,256,168,363,0,0,170,939,12,0,0,10,91261,3653763
"37045951502",125,8,46,39,207,3,3,93,184,4,0,2,0,91261,3653763
"37045951503",298,14,132,106,225,0,29,153,428,56,0,15,0,91261,3653763
"37045951601",1524,68,306,202,476,0,29,326,716,43,0,12,0,91261,3653763
"37045951602",719,119,435,227,659,0,39,296,1435,0,0,15,0,91261,3653763
"37189920100",44,100,380,333,636,6,53,318,1769,29,0,17,0,91261,3653763
"37189920200",2,55,237,164,442,100,20,68,916,10,0,52,0,91261,3653763
"37189920300",6,14,86,66,206,40,3,53,822,13,0,23,0,91261,3653763
"37189920400",88,205,228,176,422,90,50,734,6207,10,0,16,0,91261,3653763
"37189920500",230,117,63,49,71,0,0,827,1609,19,0,12,0,91261,3653763
"37189920601",56,219,129,87,171,0,0,265,3454,47,0,0,0,91261,3653763
"37189920602",15,144,25,16,107,78,9,47,669,38,0,0,0,91261,3653763
"37189920701",16,14,116,90,137,0,0,77,340,6,0,12,0,91261,3653763
"37189920702",35,23,139,66,264,0,0,53,375,10,0,0,0,91261,3653763
"37189920703",48,196,318,172,348,149,0,186,1782,40,0,29,0,91261,3653763
"37189920800",0,18,172,159,149,0,29,103,817,12,0,11,0,91261,3653763
"37189920900",9,85,129,115,387,0,18,180,1317,49,0,14,0,91261,3653763
"37189921000",0,5,10,7,22,0,0,43,32,5,0,0,0,91261,3653763
"37085070100",1377,166,431,342,631,3,31,290,1831,21,0,16,0,91261,3653763
"37085070200",1337,242,352,321,647,72,66,219,1586,7,0,47,0,91261,3653763
"37085070300",1580,234,399,321,650,79,39,357,2517,27,0,42,0,91261,3653763
"37085070401",484,117,271,235,487,7,12,198,1535,42,0,24,0,91261,3653763
"37085070402",685,50,397,274,800,234,31,365,2496,63,0,46,0,91261,3653763
"37085070500",945,156,410,302,795,30,41,305,1951,10,0,27,0,91261,3653763
"37085070600",1927,103,328,300,439,0,5,240,871,51,0,16,0,91261,3653763
"37085070700",1999,209,366,253,807,0,28,230,1813,57,0,8,0,91261,3653763
"37085070801",166,29,123,74,157,1,8,99,346,27,0,0,0,91261,3653763
"37085070802",774,38,160,126,189,0,29,162,1581,12,0,3,0,91261,3653763
"37085070901",534,55,124,124,197,24,37,150,852,13,0,14,0,91261,3653763
"37085070902",181,34,195,109,431,0,0,208,923,0,0,35,0,91261,3653763
"37085070903",269,55,150,83,436,174,17,124,701,0,0,13,0,91261,3653763
"37085070904",585,21,131,63,252,0,3,116,649,63,0,25,0,91261,3653763
"37085071001",797,61,259,122,330,0,29,329,655,101,0,138,0,91261,3653763
"37085071002",82,22,97,85,291,76,15,111,335,50,0,24,0,91261,3653763
"37085071101",372,85,275,195,578,74,7,319,932,12,0,0,0,91261,3653763
"37085071102",899,69,348,268,701,33,0,308,1514,12,0,0,0,91261,3653763
"37085071201",527,24,195,117,253,12,21,207,971,5,0,16,0,91261,3653763
"37085071202",1253,64,460,366,238,192,21,298,2431,27,0,17,0,91261,3653763
"37085071203",568,45,123,114,187,0,18,88,816,4,0,6,0,91261,3653763
"37085071204",738,25,262,193,284,11,7,183,1565,45,0,55,0,91261,3653763
"37085071301",698,37,304,217,427,45,18,217,779,0,0,0,0,91261,3653763
"37085071302",924,6,484,400,146,99,7,225,1945,55,0,30,0,91261,3653763
"37085071303",1560,18,530,486,260,0,12,440,2721,142,0,117,0,91261,3653763
"37085071401",1345,24,248,151,687,59,0,226,1118,30,0,31,0,91261,3653763
"37085071402",2280,128,493,282,327,65,14,353,6706,69,0,0,0,91261,3653763
"37093970101",3276,71,808,588,359,0,47,529,3400,51,0,27,0,91261,3653763
"37093970102",3259,193,907,657,725,343,0,321,3897,54,0,27,0,91261,3653763
"37093970103",2095,48,497,413,401,269,92,519,1787,28,0,95,0,91261,3653763
"37093970201",1648,47,238,140,700,18,42,256,1155,0,0,24,0,91261,3653763
"37093970202",1560,147,249,230,727,41,18,324,1475,0,0,0,0,91261,3653763
"37093970300",2504,254,540,445,785,0,93,272,2339,11,0,21,0,91261,3653763
"37093970401",774,171,439,341,582,0,22,167,989,12,0,38,0,91261,3653763
"37093970402",1068,149,306,158,551,277,46,254,1485,0,0,0,0,91261,3653763
"37093980100",0,0,0,0,0,0,0,0,0,0,0,0,0,91261,3653763
"37089930100",125,37,274,203,482,0,8,208,1044,23,0,75,0,91261,3653763
"37089930200",11,63,331,174,840,0,82,283,2228,90,0,29,0,91261,3653763
"37089930300",82,77,405,307,571,141,91,203,1965,41,0,7,0,91261,3653763
"37089930401",68,55,169,141,257,487,0,138,665,12,0,33,0,91261,3653763
"37089930402",66,214,143,75,528,44,19,87,944,0,0,0,0,91261,3653763
"37089930501",196,95,243,58,434,0,51,40,1253,26,0,0,0,91261,3653763
"37089930502",233,38,235,178,381,0,15,173,1645,0,0,36,0,91261,3653763
"37089930600",37,38,302,207,272,1,0,109,562,46,0,0,0,91261,3653763
"37089930701",178,34,133,99,172,0,27,68,374,21,0,84,0,91261,3653763
"37089930702",0,58,270,209,233,22,0,210,624,90,0,18,0,91261,3653763
"37089930703",0,28,332,179,205,0,11,321,894,7,0,0,0,91261,3653763
"37089930800",138,136,250,239,322,0,49,132,1105,72,0,0,0,91261,3653763
"37089930900",49,77,185,164,426,0,31,189,1182,10,0,11,0,91261,3653763
"37089931000",69,364,298,243,605,0,46,218,2844,0,0,50,0,91261,3653763
"37089931100",725,257,159,126,201,0,18,150,1252,21,0,40,0,91261,3653763
"37089931200",427,187,201,131,261,178,58,195,1683,19,0,38,0,91261,3653763
"37089931300",241,127,236,164,366,0,8,264,1060,0,0,0,0,91261,3653763
"37089931400",79,247,284,201,828,0,108,166,1209,27,0,74,0,91261,3653763
"37089931500",93,49,74,57,75,0,23,56,504,35,0,0,0,91261,3653763
"37089931600",22,100,207,207,388,0,59,178,1304,67,0,18,0,91261,3653763
"37089931700",46,12,236,207,80,0,11,69,761,28,0,41,0,91261,3653763
"37089931801",109,26,32,21,146,0,0,42,417,8,0,32,0,91261,3653763
"37089931802",150,91,118,93,221,0,0,173,595,71,0,49,0,91261,3653763
"37089931901",58,73,107,36,211,0,6,107,250,23,0,0,0,91261,3653763
"37089931902",45,49,159,145,219,0,0,53,646,29,0,0,0,91261,3653763
"37089932000",61,122,189,129,471,4,33,263,667,8,0,24,0,91261,3653763
"37089980100",0,0,0,0,0,0,0,0,0,0,0,0,0,91261,3653763
"37103920100",1551,115,375,280,366,0,38,181,1155,2,0,35,0,91261,3653763
"37103920200",901,48,246,192,298,0,41,110,1044,6,0,38,0,91261,3653763
"37103920300",695,103,192,114,520,16,32,220,831,17,0,22,0,91261,3653763
"37005950100",19,89,161,133,546,137,27,270,922,8,0,21,0,91261,3653763
"37005950200",87,185,287,201,722,115,12,217,1590,11,0,0,0,91261,3653763
"37005950300",8,78,97,49,363,0,48,144,384,44,0,12,0,91261,3653763
"37181960100",2103,108,360,321,639,0,14,198,1215,0,0,0,0,91261,3653763
"37181960200",2849,31,474,377,646,0,14,293,1424,0,0,22,8,91261,3653763
"37181960300",2112,126,226,141,364,41,100,125,579,18,0,13,13,91261,3653763
