"","Tract","1,3-BUTADIENE","ACETALDEHYDE","BENZENE","CARBON TETRACHLORIDE","DIESEL PM","ETHYLBENZENE","FORMALDEHYDE","HEXANE","LEAD COMPOUNDS","MANGANESE COMPOUNDS","MERCURY COMPOUNDS","METHANOL","METHYL CHLORIDE (CHLOROMETHANE)","NICKEL COMPOUNDS","TOLUENE","XYLENES (MIXED ISOMERS)"
"1828",37159051400,-3.43384733966669,0.480070467296825,-0.795471918612629,-0.634024882525801,-0.924825774445431,-1.87703234487635,0.628000124062284,-1.55340204049195,-7.72107898556259,-6.38277299733386,-6.49879225372549,0.471168049170644,0.157207847638201,-8.77366538656641,0.150791194900308,-0.620572967127307
"1829",37159051501,-3.42591239136584,0.478834117095847,-0.809012608461886,-0.633987441230731,-1.01109231753441,-1.90671980042072,0.630241013021353,-1.57082771397238,-7.70118336053691,-6.17359477655818,-6.3864746340376,0.494549166386897,0.169094387214236,-8.50255079740911,0.12801634666491,-0.642879536782204
"1830",37159051502,-3.56428952211983,0.466253926765129,-0.8991039539601,-0.634205487108668,-1.18372530214505,-2.04303171089597,0.613801196110073,-1.70883852421034,-7.39506608755392,-6.19270386496966,-6.39575982479465,0.477730891902963,0.166965766147816,-8.44127363224904,0.00380274090694062,-0.781270216012947
"1831",37159051600,-3.55330753572886,0.462501461539785,-0.846430422270454,-0.634422332052962,-1.05387410842308,-1.97571321123189,0.598113152062338,-1.64883903874086,-7.73171399091635,-6.25671845106113,-6.34371195904805,0.443435591973485,0.132194284093204,-8.46489630109959,0.080311275144526,-0.71620451641444
"1832",37159051700,-3.57904192186761,0.458150691018742,-0.805909500374967,-0.634648962125815,-0.911643574157754,-1.92325450967718,0.584478238512263,-1.61050102633948,-7.70276593475757,-6.38839898772712,-6.36821380718982,0.404420160340362,0.137477465378284,-8.51191392032311,0.129067930456286,-0.676304862423085
"1833",37159051801,-3.92200368310177,0.427802164748816,-1.03499251408331,-0.634962027452757,-1.27226491069184,-2.26523984598615,0.573301867756725,-1.96799878504746,-7.54664430828957,-6.28884567678213,-6.35806796685071,0.390798677291237,0.0880546309442641,-8.57459602688943,-0.209555593295037,-1.037121840752
"1834",37159051802,-3.91430491149658,0.42694272639854,-1.05392854858614,-0.634915661059444,-1.34248344906728,-2.28237006858838,0.568267585116544,-1.96043648819148,-7.58089816238656,-6.44213839231265,-6.41398497386388,0.360660303831501,0.0981761326716176,-8.71892320837244,-0.205061029021364,-1.03865608991425
"1835",37159051901,-3.982954401247,0.425432165218355,-1.06535649448793,-0.634084621799593,-1.20995627061046,-2.27638211903727,0.561510809550078,-2.00559162173301,-7.31528245218593,-6.48426900039092,-6.4256996823346,0.315127585478568,0.0572245044336951,-8.51877157040124,-0.249940502178348,-1.05475013981572
"1836",37159051902,-4.12716269328577,0.406984894381063,-1.14410555165681,-0.63316493631793,-1.38621313724264,-2.3764264918662,0.528268309872568,-2.12797606896716,-7.51610548486584,-6.70330016799316,-6.47535935144239,0.262088251610216,0.240101422400155,-8.7073702671647,-0.364659276155323,-1.18598015296997
"1837",37159052000,-3.39926204862785,0.47565784195229,-0.713185727883066,-0.632772708428334,-0.637558392619572,-1.78649108178479,0.607048218567671,-1.48600142812106,-7.45526829334108,-6.06008547377498,-6.136036595979,0.400976018539313,0.217782381892955,-8.2906231053831,0.261929648728059,-0.529732373580266
"1838",3.7161e+10,-4.19511786815372,0.389307348569461,-1.16704230403312,-0.641215550823401,-1.53519259214791,-2.60900602794008,0.551237032624195,-2.27387863385749,-7.87591390056581,-6.71278048943631,-6.40910123366323,0.302908696773971,0.122050331405677,-8.4191111202956,-0.394249149437639,-1.42695995307941
"1839",37161960100,-4.7205355523386,0.306612277680827,-1.38999820669523,-0.651048669549655,-1.88572501931187,-3.0092532485484,0.485759862304538,-2.65196320496695,-7.68890711221217,-6.54851833653613,-6.48644815422954,0.230418850825571,0.0694946349159583,-8.70603197104638,-0.802672050227298,-1.89341481637485
"1840",37161960200,-4.64395077632163,0.261217999102447,-1.38784744248664,-0.650093854720026,-1.94388066821543,-2.95871250300661,0.441067494177307,-2.64178928699477,-8.04282605394714,-7.18958444721012,-6.470002702597,0.203396268438499,0.085617227281058,-8.85923203151576,-0.803862781303343,-1.84754975958294
"1841",37161960300,-4.87137605914426,0.0654402134065079,-1.50766760146535,-0.666156669089478,-2.15162776107922,-3.05427961624567,0.31590333170031,-2.82248883647995,-8.52400113345385,-7.41026925159944,-6.50532386520816,0.139639128920852,0.0127574466204231,-9.04753976489826,-0.976058811496363,-1.96049887863349
"1842",37161960400,-4.10650569940162,0.426407504183157,-1.12943647852398,-0.641289880103724,-1.57824020054091,-2.57125985406809,0.570193673676409,-2.24479236766106,-8.02646498255202,-6.93003442584358,-6.37194362206804,0.294990293728165,0.189152729447167,-8.14861206213947,-0.35437432767268,-1.397317336905
"1843",37161960500,-4.02142010380169,0.418976805799019,-1.08196324879397,-0.641699083634926,-1.51200795438441,-2.47826791034445,0.5646053479064,-2.17808921982089,-7.3876742891478,-6.741691206852,-6.36204001552025,0.283585711309028,0.176859123164501,-7.84057608306197,-0.24031407978742,-1.30459348878923
"1844",37161960600,-3.88818580542809,0.432573670963422,-1.00461700314031,-0.641743221995901,-1.28213126968839,-2.37903180682714,0.597827569546647,-2.06160093907237,-7.28436798137542,-6.32811786041699,-6.35391571736787,0.329192992808127,0.137807294163972,-8.22698259013951,-0.169309073968805,-1.16204128069681
"1845",37161960700,-3.93577146189921,0.429416487809398,-1.08509072987104,-0.642083205173987,-1.39676203251647,-2.50421704676141,0.604253612007667,-2.14358495283031,-8.04758146082775,-6.53577699063179,-6.40847283966231,0.347425972664424,0.0926503273492081,-8.68073513695771,-0.279422572888787,-1.26029091613032
"1846",37161960800,-3.8081802215928,0.436420468236125,-0.948026088084193,-0.642073218433957,-1.18128193698085,-2.30927317342713,0.613765426330216,-1.9720204440001,-7.9152463100519,-6.59030279716462,-6.33962455196895,0.360099706538724,0.197413596870774,-8.49291458841845,-0.112187742781534,-1.07693579515638
"1847",37161960900,-3.89412865361436,0.444105286629974,-0.990069082397518,-0.641701267159269,-1.24546512414042,-2.36029420479323,0.609771651183935,-2.02690514246735,-8.07446108510587,-6.7199030706425,-6.3525663884566,0.355348653464227,0.188618166474387,-8.41746062117526,-0.149861583449193,-1.15184862559341
