"","Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","fem_occ_professional","num_occupants_crowded","phone_service","Cluster"
"356",37111970700,0.164919265121392,0.269768176607152,0.525325271993454,0.459917255306411,0.447864088346316,0.821583836257749,0.0915257523912551,0.325835221840112,0.552739968151967,0.199857295736379,0.123466199581199,0,0.993433940815592,1
"357",37111970800,0.104584546003622,0.199204768222399,0.447213595499958,0.356287298776431,0.470428131433686,NA,0.161164592805076,0.26691947547861,0.386868719031362,0.197520565300508,0,0.0710669054518701,0.994574023980864,1
"358",37111970901,0.252500419412644,0.129920645888471,0.545969330794786,0.495183072631998,0.450758398176064,NA,0.128326467159873,0.236397828604995,0.529441110675084,0.28692701696175,0.231160365339339,0.183735539447748,0.989446160853883,1
"359",37111970902,0.0992855088482243,0.294090552066432,0.364840619089797,0.350712357267344,0.392031280116988,NA,0.163132086939236,0.299566729899293,0.557283108474888,0,0,0.153432243771848,0.982185226857289,1
"360",37063000101,0.68453649415751,0.431646419958727,0.694309727089114,0.652772478110026,0.534974002264215,0.791182022197207,0,0.284814930423302,0.692063043038091,0.348366507145809,0.322428900751164,0.261547014290105,0.985036562622408,2
"361",37063000102,0.581094857038601,0.277424724805237,0.654923352973054,0.478202237009449,0.529580991028409,0.640945247904071,0.148548774577301,0.290939287981769,0.797069290849254,0.4004451865596,0.281864015033205,0.216389793009831,0.983173832946734,3
"362",37063000200,0.623350536594674,0.351512464994934,0.633824979033047,0.502881868245819,0.446052411066456,0.546358364708153,0,0.28565227501671,0.748200225669598,0.393531773351489,0.209369569036086,0.19976962941097,0.957660874995186,3
"363",37063000301,0.570438359480186,0.362738125055006,0.641015965093882,0.558899787749406,0.497310666979719,0.694516336148021,0.142735820420942,0.19124349420065,0.822239886756018,0.320906574894155,0.398526698493043,0.210101438836146,0.951720807671829,3
"364",37063000302,0.387983616786744,0.352774760189524,0.58754189591216,0.448742535329223,0.367607311046904,0.17107978455366,0.0614102033341257,0.215721295547373,0.782082704702624,0.338652203130756,0.368153758751211,0.141820789703788,0.987030923526455,3
"365",37063000401,0.110201380233702,0.153655632220311,0.38250074272061,0.351538824960409,0.177512416514119,0.340997169735237,0,0.160296692062249,0.483584322553123,0.553556719032622,0.366033581142867,0,0.980774830860765,1
